WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786432011.806128   20276 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7ff704214b80> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7ff704214b80> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
completed: results/experiment1_final/ravdess/signsgd/seed_123_20260811_151426
[ravdess/w2_fp32_adam] round 001/50: loss=8.9232, acc=0.1778, time=14.8s
[ravdess/w2_fp32_adam] round 002/50: loss=2.1651, acc=0.3889, time=12.1s
[ravdess/w2_fp32_adam] round 003/50: loss=1.6602, acc=0.4667, time=12.1s
[ravdess/w2_fp32_adam] round 004/50: loss=1.4360, acc=0.5139, time=12.3s
[ravdess/w2_fp32_adam] round 005/50: loss=1.3422, acc=0.5444, time=11.9s
[ravdess/w2_fp32_adam] round 006/50: loss=1.3465, acc=0.5583, time=12.3s
[ravdess/w2_fp32_adam] round 007/50: loss=1.3256, acc=0.5889, time=12.1s
[ravdess/w2_fp32_adam] round 008/50: loss=1.2980, acc=0.5944, time=12.0s
[ravdess/w2_fp32_adam] round 009/50: loss=1.3225, acc=0.5778, time=12.2s
[ravdess/w2_fp32_adam] round 010/50: loss=1.2176, acc=0.6222, time=12.2s
[ravdess/w2_fp32_adam] round 011/50: loss=1.2902, acc=0.5889, time=12.1s
[ravdess/w2_fp32_adam] round 012/50: loss=1.2782, acc=0.6194, time=11.8s
[ravdess/w2_fp32_adam] round 013/50: loss=1.2858, acc=0.6111, time=12.0s
[ravdess/w2_fp32_adam] round 014/50: loss=1.3348, acc=0.6028, time=12.1s
[ravdess/w2_fp32_adam] round 015/50: loss=1.3808, acc=0.5917, time=12.0s
[ravdess/w2_fp32_adam] round 016/50: loss=1.3020, acc=0.6000, time=12.1s
[ravdess/w2_fp32_adam] round 017/50: loss=1.2999, acc=0.6139, time=12.0s
[ravdess/w2_fp32_adam] round 018/50: loss=1.3344, acc=0.6083, time=11.9s
[ravdess/w2_fp32_adam] round 019/50: loss=1.3774, acc=0.5889, time=12.2s
[ravdess/w2_fp32_adam] round 020/50: loss=1.3820, acc=0.6222, time=11.9s
[ravdess/w2_fp32_adam] round 021/50: loss=1.3850, acc=0.6028, time=11.9s
[ravdess/w2_fp32_adam] round 022/50: loss=1.4433, acc=0.6083, time=12.4s
[ravdess/w2_fp32_adam] round 023/50: loss=1.3780, acc=0.5833, time=12.1s
[ravdess/w2_fp32_adam] round 024/50: loss=1.3957, acc=0.6028, time=11.8s
[ravdess/w2_fp32_adam] round 025/50: loss=1.3921, acc=0.6083, time=12.4s
[ravdess/w2_fp32_adam] round 026/50: loss=1.4440, acc=0.6056, time=11.9s
[ravdess/w2_fp32_adam] round 027/50: loss=1.4444, acc=0.5944, time=12.2s
[ravdess/w2_fp32_adam] round 028/50: loss=1.4230, acc=0.6000, time=11.9s
[ravdess/w2_fp32_adam] round 029/50: loss=1.4363, acc=0.6194, time=11.7s
[ravdess/w2_fp32_adam] round 030/50: loss=1.4770, acc=0.6028, time=11.7s
[ravdess/w2_fp32_adam] round 031/50: loss=1.4680, acc=0.5972, time=11.6s
[ravdess/w2_fp32_adam] round 032/50: loss=1.4418, acc=0.6194, time=11.9s
