WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786426635.526112   13957 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7f15d41f4af0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7f15d41f4af0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
[ravdess/w2_fp32_adam] round 003/50: loss=1.8196, acc=0.4778, time=14.1s
[ravdess/w2_fp32_adam] round 004/50: loss=1.5866, acc=0.5111, time=14.9s
[ravdess/w2_fp32_adam] round 005/50: loss=1.5111, acc=0.5333, time=12.1s
[ravdess/w2_fp32_adam] round 006/50: loss=1.4498, acc=0.5222, time=12.4s
[ravdess/w2_fp32_adam] round 007/50: loss=1.4317, acc=0.5083, time=12.5s
[ravdess/w2_fp32_adam] round 008/50: loss=1.3690, acc=0.5694, time=13.3s
[ravdess/w2_fp32_adam] round 009/50: loss=1.3709, acc=0.5583, time=12.2s
[ravdess/w2_fp32_adam] round 010/50: loss=1.3380, acc=0.5722, time=13.2s
[ravdess/w2_fp32_adam] round 011/50: loss=1.4151, acc=0.5611, time=12.3s
[ravdess/w2_fp32_adam] round 012/50: loss=1.3528, acc=0.5861, time=13.0s
[ravdess/w2_fp32_adam] round 013/50: loss=1.3625, acc=0.5750, time=12.6s
[ravdess/w2_fp32_adam] round 014/50: loss=1.3872, acc=0.5722, time=12.5s
[ravdess/w2_fp32_adam] round 015/50: loss=1.4033, acc=0.5750, time=12.2s
[ravdess/w2_fp32_adam] round 016/50: loss=1.4404, acc=0.5750, time=13.1s
[ravdess/w2_fp32_adam] round 017/50: loss=1.4515, acc=0.5667, time=12.2s
[ravdess/w2_fp32_adam] round 018/50: loss=1.4909, acc=0.5583, time=12.5s
[ravdess/w2_fp32_adam] round 019/50: loss=1.4679, acc=0.5722, time=12.2s
[ravdess/w2_fp32_adam] round 020/50: loss=1.4626, acc=0.5722, time=12.7s
[ravdess/w2_fp32_adam] round 021/50: loss=1.4758, acc=0.5722, time=12.3s
[ravdess/w2_fp32_adam] round 022/50: loss=1.5457, acc=0.5667, time=12.6s
[ravdess/w2_fp32_adam] round 023/50: loss=1.5676, acc=0.5583, time=12.0s
[ravdess/w2_fp32_adam] round 024/50: loss=1.5369, acc=0.5667, time=12.6s
[ravdess/w2_fp32_adam] round 025/50: loss=1.6013, acc=0.5694, time=12.0s
[ravdess/w2_fp32_adam] round 026/50: loss=1.5134, acc=0.5861, time=12.9s
[ravdess/w2_fp32_adam] round 027/50: loss=1.5331, acc=0.5972, time=12.3s
[ravdess/w2_fp32_adam] round 028/50: loss=1.6408, acc=0.5639, time=12.4s
[ravdess/w2_fp32_adam] round 029/50: loss=1.5687, acc=0.5667, time=12.0s
[ravdess/w2_fp32_adam] round 030/50: loss=1.5467, acc=0.6000, time=12.9s
[ravdess/w2_fp32_adam] round 031/50: loss=1.5515, acc=0.5944, time=12.2s
[ravdess/w2_fp32_adam] round 032/50: loss=1.5667, acc=0.5917, time=12.7s
[ravdess/w2_fp32_adam] round 033/50: loss=1.5860, acc=0.5861, time=12.0s
[ravdess/w2_fp32_adam] round 034/50: loss=1.5967, acc=0.5778, time=12.7s
[ravdess/w2_fp32_adam] round 035/50: loss=1.5990, acc=0.5833, time=12.1s
[ravdess/w2_fp32_adam] round 036/50: loss=1.5999, acc=0.5833, time=12.7s
[ravdess/w2_fp32_adam] round 037/50: loss=1.6247, acc=0.5806, time=12.2s
[ravdess/w2_fp32_adam] round 038/50: loss=1.6090, acc=0.5889, time=12.4s
[ravdess/w2_fp32_adam] round 039/50: loss=1.6024, acc=0.5917, time=12.0s
[ravdess/w2_fp32_adam] round 040/50: loss=1.6021, acc=0.5917, time=12.4s
[ravdess/w2_fp32_adam] round 041/50: loss=1.6439, acc=0.5889, time=11.7s
[ravdess/w2_fp32_adam] round 042/50: loss=1.6459, acc=0.6028, time=12.3s
[ravdess/w2_fp32_adam] round 043/50: loss=1.6404, acc=0.5861, time=12.3s
[ravdess/w2_fp32_adam] round 044/50: loss=1.6328, acc=0.5944, time=12.3s
[ravdess/w2_fp32_adam] round 045/50: loss=1.6483, acc=0.6028, time=12.1s
[ravdess/w2_fp32_adam] round 046/50: loss=1.6555, acc=0.5889, time=12.7s
[ravdess/w2_fp32_adam] round 047/50: loss=1.6744, acc=0.5917, time=12.1s
[ravdess/w2_fp32_adam] round 048/50: loss=1.6755, acc=0.5917, time=12.4s
[ravdess/w2_fp32_adam] round 049/50: loss=1.6887, acc=0.5917, time=12.1s
[ravdess/w2_fp32_adam] round 050/50: loss=1.6761, acc=0.5833, time=12.7s
completed: results/experiment1_final/ravdess/w2_fp32_adam/seed_42_20260811_135326
[ravdess/cqfl] round 001/50: loss=5.7760, acc=0.2667, time=79.1s
[ravdess/cqfl] round 002/50: loss=2.3261, acc=0.4417, time=80.8s
[ravdess/cqfl] round 003/50: loss=1.7173, acc=0.4944, time=77.2s
[ravdess/cqfl] round 004/50: loss=1.6409, acc=0.5083, time=80.4s
[ravdess/cqfl] round 005/50: loss=1.7154, acc=0.5000, time=81.0s
[ravdess/cqfl] round 006/50: loss=1.5480, acc=0.5083, time=76.6s
[ravdess/cqfl] round 007/50: loss=1.4726, acc=0.5611, time=73.9s
[ravdess/cqfl] round 008/50: loss=1.6360, acc=0.5528, time=74.7s
[ravdess/cqfl] round 009/50: loss=1.5558, acc=0.5361, time=77.8s
[ravdess/cqfl] round 010/50: loss=1.6482, acc=0.5778, time=76.8s
[ravdess/cqfl] round 011/50: loss=1.7233, acc=0.5694, time=76.6s
[ravdess/cqfl] round 012/50: loss=1.4354, acc=0.5861, time=74.9s
[ravdess/cqfl] round 013/50: loss=1.6550, acc=0.5639, time=72.5s
[ravdess/cqfl] round 014/50: loss=1.5855, acc=0.5444, time=72.1s
[ravdess/cqfl] round 015/50: loss=1.5439, acc=0.5722, time=79.5s
[ravdess/cqfl] round 016/50: loss=1.5490, acc=0.5611, time=74.6s
[ravdess/cqfl] round 017/50: loss=1.5190, acc=0.5778, time=75.9s
[ravdess/cqfl] round 018/50: loss=1.5817, acc=0.5639, time=73.6s
[ravdess/cqfl] round 019/50: loss=1.5482, acc=0.5639, time=73.4s
[ravdess/cqfl] round 020/50: loss=1.5217, acc=0.5694, time=73.8s
[ravdess/cqfl] round 021/50: loss=1.5371, acc=0.5667, time=74.1s
[ravdess/cqfl] round 022/50: loss=1.5739, acc=0.5667, time=75.9s
[ravdess/cqfl] round 023/50: loss=1.5913, acc=0.5500, time=73.3s
[ravdess/cqfl] round 024/50: loss=1.5757, acc=0.5778, time=70.7s
[ravdess/cqfl] round 025/50: loss=1.6234, acc=0.5611, time=73.5s
[ravdess/cqfl] round 026/50: loss=1.5636, acc=0.5833, time=73.6s
[ravdess/cqfl] round 027/50: loss=1.5883, acc=0.5889, time=74.8s
[ravdess/cqfl] round 028/50: loss=1.6851, acc=0.5722, time=76.0s
[ravdess/cqfl] round 029/50: loss=1.6218, acc=0.5833, time=74.5s
[ravdess/cqfl] round 030/50: loss=1.6161, acc=0.5833, time=74.9s
[ravdess/cqfl] round 031/50: loss=1.6165, acc=0.5917, time=76.2s
[ravdess/cqfl] round 032/50: loss=1.6283, acc=0.5944, time=74.2s
[ravdess/cqfl] round 033/50: loss=1.6344, acc=0.5944, time=71.6s
[ravdess/cqfl] round 034/50: loss=1.6572, acc=0.5861, time=72.8s
[ravdess/cqfl] round 035/50: loss=1.6283, acc=0.6000, time=71.1s
[ravdess/cqfl] round 036/50: loss=1.6322, acc=0.5833, time=75.8s
[ravdess/cqfl] round 037/50: loss=1.6616, acc=0.5806, time=74.4s
[ravdess/cqfl] round 038/50: loss=1.6509, acc=0.5833, time=73.7s
[ravdess/cqfl] round 039/50: loss=1.6457, acc=0.5861, time=74.2s
[ravdess/cqfl] round 040/50: loss=1.6362, acc=0.5917, time=74.4s
[ravdess/cqfl] round 041/50: loss=1.6719, acc=0.5861, time=69.8s
[ravdess/cqfl] round 042/50: loss=1.6851, acc=0.5917, time=71.8s
[ravdess/cqfl] round 043/50: loss=1.6650, acc=0.5917, time=73.0s
[ravdess/cqfl] round 044/50: loss=1.6676, acc=0.5833, time=72.4s
[ravdess/cqfl] round 045/50: loss=1.6690, acc=0.5917, time=76.6s
[ravdess/cqfl] round 046/50: loss=1.6813, acc=0.5861, time=73.9s
[ravdess/cqfl] round 047/50: loss=1.6839, acc=0.5889, time=79.9s
[ravdess/cqfl] round 048/50: loss=1.6866, acc=0.5917, time=79.5s
[ravdess/cqfl] round 049/50: loss=1.7013, acc=0.5889, time=76.2s
[ravdess/cqfl] round 050/50: loss=1.6938, acc=0.5917, time=77.5s
completed: results/experiment1_final/ravdess/cqfl/seed_42_20260811_140403
