nohup: ignoring input
[mnist/bitfl] round 014/50: loss=0.4747, acc=0.8526, time=31.8s
[mnist/bitfl] round 015/50: loss=0.4659, acc=0.8576, time=31.8s
[mnist/bitfl] round 016/50: loss=0.4224, acc=0.8629, time=32.1s
[mnist/bitfl] round 017/50: loss=0.3821, acc=0.8798, time=32.1s
[mnist/bitfl] round 018/50: loss=0.3799, acc=0.8797, time=33.5s
[mnist/bitfl] round 019/50: loss=0.3681, acc=0.8837, time=32.5s
[mnist/bitfl] round 020/50: loss=0.5068, acc=0.8291, time=32.5s
[mnist/bitfl] round 021/50: loss=0.3927, acc=0.8746, time=31.9s
[mnist/bitfl] round 022/50: loss=0.3450, acc=0.8845, time=31.9s
[mnist/bitfl] round 023/50: loss=0.3277, acc=0.8937, time=32.5s
[mnist/bitfl] round 024/50: loss=0.3326, acc=0.8888, time=35.5s
[mnist/bitfl] round 025/50: loss=0.3000, acc=0.8993, time=33.6s
[mnist/bitfl] round 026/50: loss=0.2790, acc=0.9086, time=32.4s
[mnist/bitfl] round 027/50: loss=0.2789, acc=0.9070, time=34.5s
[mnist/bitfl] round 028/50: loss=0.2450, acc=0.9220, time=33.4s
[mnist/bitfl] round 029/50: loss=0.2229, acc=0.9334, time=34.9s
[mnist/bitfl] round 030/50: loss=0.2284, acc=0.9286, time=36.9s
[mnist/bitfl] round 031/50: loss=0.2901, acc=0.9014, time=36.4s
[mnist/bitfl] round 032/50: loss=0.2688, acc=0.9117, time=35.8s
[mnist/bitfl] round 033/50: loss=0.2547, acc=0.9168, time=32.3s
[mnist/bitfl] round 034/50: loss=0.2167, acc=0.9328, time=32.2s
[mnist/bitfl] round 035/50: loss=0.2655, acc=0.9138, time=32.0s
[mnist/bitfl] round 036/50: loss=0.2391, acc=0.9206, time=32.3s
[mnist/bitfl] round 037/50: loss=0.2477, acc=0.9179, time=32.8s
[mnist/bitfl] round 038/50: loss=0.2197, acc=0.9279, time=34.7s
[mnist/bitfl] round 039/50: loss=0.1880, acc=0.9424, time=36.3s
[mnist/bitfl] round 040/50: loss=0.2469, acc=0.9172, time=35.2s
[mnist/bitfl] round 041/50: loss=0.2192, acc=0.9249, time=34.7s
[mnist/bitfl] round 042/50: loss=0.2238, acc=0.9232, time=34.2s
[mnist/bitfl] round 043/50: loss=0.2711, acc=0.9072, time=34.7s
[mnist/bitfl] round 044/50: loss=0.1719, acc=0.9456, time=37.0s
[mnist/bitfl] round 045/50: loss=0.1932, acc=0.9400, time=35.0s
[mnist/bitfl] round 046/50: loss=0.1907, acc=0.9386, time=32.8s
[mnist/bitfl] round 047/50: loss=0.1760, acc=0.9474, time=33.0s
[mnist/bitfl] round 048/50: loss=0.1699, acc=0.9478, time=32.6s
[mnist/bitfl] round 049/50: loss=0.2220, acc=0.9279, time=33.0s
[mnist/bitfl] round 050/50: loss=0.2189, acc=0.9276, time=36.9s
completed: results/experiment1_five_v1_final/mnist/bitfl/seed_2024_20260813_013154
[mnist/signsgd] round 001/50: loss=2.3095, acc=0.1451, time=26.9s
[mnist/signsgd] round 002/50: loss=2.3177, acc=0.1310, time=26.5s
[mnist/signsgd] round 003/50: loss=2.3214, acc=0.1420, time=25.7s
[mnist/signsgd] round 004/50: loss=2.3155, acc=0.1594, time=25.8s
[mnist/signsgd] round 005/50: loss=2.2951, acc=0.1775, time=25.5s
[mnist/signsgd] round 006/50: loss=2.2588, acc=0.1986, time=25.5s
[mnist/signsgd] round 007/50: loss=2.2085, acc=0.2206, time=25.2s
[mnist/signsgd] round 008/50: loss=2.1453, acc=0.2481, time=25.0s
[mnist/signsgd] round 009/50: loss=2.0708, acc=0.2748, time=25.1s
[mnist/signsgd] round 010/50: loss=1.9868, acc=0.3029, time=25.1s
[mnist/signsgd] round 011/50: loss=1.8986, acc=0.3396, time=24.7s
[mnist/signsgd] round 012/50: loss=1.8101, acc=0.3750, time=24.7s
[mnist/signsgd] round 013/50: loss=1.7274, acc=0.4081, time=25.2s
[mnist/signsgd] round 014/50: loss=1.6541, acc=0.4399, time=25.0s
[mnist/signsgd] round 015/50: loss=1.5943, acc=0.4630, time=25.3s
[mnist/signsgd] round 016/50: loss=1.5443, acc=0.4812, time=25.3s
[mnist/signsgd] round 017/50: loss=1.5026, acc=0.4936, time=25.3s
[mnist/signsgd] round 018/50: loss=1.4669, acc=0.5061, time=25.2s
[mnist/signsgd] round 019/50: loss=1.4354, acc=0.5177, time=25.0s
[mnist/signsgd] round 020/50: loss=1.4071, acc=0.5278, time=25.0s
[mnist/signsgd] round 021/50: loss=1.3800, acc=0.5365, time=24.8s
[mnist/signsgd] round 022/50: loss=1.3551, acc=0.5456, time=24.9s
[mnist/signsgd] round 023/50: loss=1.3317, acc=0.5551, time=25.0s
[mnist/signsgd] round 024/50: loss=1.3088, acc=0.5651, time=25.1s
[mnist/signsgd] round 025/50: loss=1.2900, acc=0.5712, time=25.0s
[mnist/signsgd] round 026/50: loss=1.2711, acc=0.5796, time=24.9s
[mnist/signsgd] round 027/50: loss=1.2524, acc=0.5863, time=25.0s
[mnist/signsgd] round 028/50: loss=1.2345, acc=0.5962, time=25.3s
[mnist/signsgd] round 029/50: loss=1.2181, acc=0.6004, time=25.4s
[mnist/signsgd] round 030/50: loss=1.2030, acc=0.6068, time=25.2s
[mnist/signsgd] round 031/50: loss=1.1877, acc=0.6138, time=25.1s
